"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"18:40:23.1038915","HIDEMARU.EXE","4744","CreateFile","D:\Users\foo\Documents","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:40:23.1040712","HIDEMARU.EXE","4744","QueryDirectory","D:\Users\foo\Documents\hidemaru_backup","SUCCESS","Filter: hidemaru_backup, 1: hidemaru_backup"
"18:40:23.1042721","HIDEMARU.EXE","4744","CloseFile","D:\Users\foo\Documents","SUCCESS",""
"18:40:23.1047893","HIDEMARU.EXE","4744","CreateFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:40:23.1050372","HIDEMARU.EXE","4744","QueryDirectory","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal","SUCCESS","Filter: internal, 1: internal"
"18:40:23.1052138","HIDEMARU.EXE","4744","CloseFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity","SUCCESS",""
"18:40:23.1057538","HIDEMARU.EXE","4744","CreateFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","SUCCESS","Desired Access: Read Attributes, Delete, Disposition: Open, Options: Non-Directory File, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:40:23.1059455","HIDEMARU.EXE","4744","QueryAttributeTagFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","SUCCESS","Attributes: A, ReparseTag: 0x0"
"18:40:23.1060559","HIDEMARU.EXE","4744","SetDispositionInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","SUCCESS","Delete: True"
"18:40:23.1061873","HIDEMARU.EXE","4744","CloseFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","SUCCESS",""
"18:40:23.1073208","HIDEMARU.EXE","4744","CreateFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Sequential Access, Synchronous IO Non-Alert, Non-Directory File, Open Reparse Point, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:40:23.1076562","HIDEMARU.EXE","4744","QueryBasicInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","CreationTime: 2019/04/10 18:33:22, LastAccessTime: 2019/04/10 18:35:19, LastWriteTime: 2019/04/07 17:02:41, ChangeTime: 2019/04/07 17:02:41, FileAttributes: A"
"18:40:23.1078273","HIDEMARU.EXE","4744","FileSystemControl","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","INVALID DEVICE REQUEST","Control: 0x90390 (Device:0x9 Function:228 Method: 0)"
"18:40:23.1080091","HIDEMARU.EXE","4744","QueryAttributeInformationVolume","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c00600, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"18:40:23.1465306","HIDEMARU.EXE","4744","QueryAttributeTagFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","Attributes: A, ReparseTag: 0x0"
"18:40:23.1465762","HIDEMARU.EXE","4744","QueryStandardInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","AllocationSize: 20,480, EndOfFile: 19,298, NumberOfLinks: 1, DeletePending: False, Directory: False"
"18:40:23.1466130","HIDEMARU.EXE","4744","QueryBasicInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","CreationTime: 2019/04/10 18:33:22, LastAccessTime: 2019/04/10 18:35:19, LastWriteTime: 2019/04/07 17:02:41, ChangeTime: 2019/04/07 17:02:41, FileAttributes: A"
"18:40:23.1466705","HIDEMARU.EXE","4744","QueryStreamInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","0: ::$DATA"
"18:40:23.1467849","HIDEMARU.EXE","4744","QueryBasicInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","CreationTime: 2019/04/10 18:33:22, LastAccessTime: 2019/04/10 18:35:19, LastWriteTime: 2019/04/07 17:02:41, ChangeTime: 2019/04/07 17:02:41, FileAttributes: A"
"18:40:23.1468303","HIDEMARU.EXE","4744","QueryEaInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","EaSize: 0"
"18:40:23.1470189","HIDEMARU.EXE","4744","CreateFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","SUCCESS","Desired Access: Generic Read/Write, Delete, Write DAC, Disposition: OverwriteIf, Options: Sequential Access, Synchronous IO Non-Alert, Non-Directory File, Attributes: A, ShareMode: None, AllocationSize: 19,298, OpenResult: Created"
"18:40:23.1473428","HIDEMARU.EXE","4744","QueryAttributeInformationVolume","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c00600, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"18:40:23.1474697","HIDEMARU.EXE","4744","QueryBasicInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","SUCCESS","CreationTime: 2019/04/10 18:40:23, LastAccessTime: 2019/04/10 18:40:23, LastWriteTime: 2019/04/10 18:40:23, ChangeTime: 2019/04/10 18:40:23, FileAttributes: A"
"18:40:23.1475125","HIDEMARU.EXE","4744","QueryAttributeInformationVolume","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c00600, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"18:40:23.1475918","HIDEMARU.EXE","4744","QueryRemoteProtocolInformation","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","INVALID PARAMETER",""
"18:40:23.1476486","HIDEMARU.EXE","4744","QuerySecurityFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","Information: Attribute"
"18:40:23.1477152","HIDEMARU.EXE","4744","SetEndOfFileInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","SUCCESS","EndOfFile: 19,298"
"18:40:23.1478570","HIDEMARU.EXE","4744","ReadFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","Offset: 0, Length: 19,298, Priority: Normal"
"18:40:23.1479366","HIDEMARU.EXE","4744","WriteFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","SUCCESS","Offset: 0, Length: 19,298, Priority: Normal"
"18:40:23.1480644","HIDEMARU.EXE","4744","SetBasicInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","SUCCESS","CreationTime: 1601/01/01 9:00:00, LastAccessTime: 1601/01/01 9:00:00, LastWriteTime: 2019/04/07 17:02:41, ChangeTime: 2019/04/07 17:02:41, FileAttributes: n/a"
"18:40:23.1481854","HIDEMARU.EXE","4744","QueryRemoteProtocolInformation","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","INVALID PARAMETER",""
"18:40:23.1482297","HIDEMARU.EXE","4744","CloseFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~100","SUCCESS",""
"18:40:23.1516841","HIDEMARU.EXE","4744","CloseFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS",""
"18:40:23.1518665","HIDEMARU.EXE","4744","CreateFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Sequential Access, Synchronous IO Non-Alert, Non-Directory File, Open Reparse Point, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:40:23.1519947","HIDEMARU.EXE","4744","QueryBasicInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","CreationTime: 2019/04/10 18:33:20, LastAccessTime: 2019/04/10 18:35:19, LastWriteTime: 2019/04/07 17:16:32, ChangeTime: 2019/04/07 17:16:32, FileAttributes: A"
"18:40:23.1520572","HIDEMARU.EXE","4744","FileSystemControl","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","INVALID DEVICE REQUEST","Control: 0x90390 (Device:0x9 Function:228 Method: 0)"
"18:40:23.1521162","HIDEMARU.EXE","4744","QueryAttributeInformationVolume","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c00600, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"18:40:23.1712626","HIDEMARU.EXE","4744","QueryAttributeTagFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","Attributes: A, ReparseTag: 0x0"
"18:40:23.1712868","HIDEMARU.EXE","4744","QueryStandardInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","AllocationSize: 20,480, EndOfFile: 19,157, NumberOfLinks: 1, DeletePending: False, Directory: False"
"18:40:23.1713061","HIDEMARU.EXE","4744","QueryBasicInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","CreationTime: 2019/04/10 18:33:20, LastAccessTime: 2019/04/10 18:35:19, LastWriteTime: 2019/04/07 17:16:32, ChangeTime: 2019/04/07 17:16:32, FileAttributes: A"
"18:40:23.1713308","HIDEMARU.EXE","4744","QueryStreamInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","0: ::$DATA"
"18:40:23.1713598","HIDEMARU.EXE","4744","QueryBasicInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","CreationTime: 2019/04/10 18:33:20, LastAccessTime: 2019/04/10 18:35:19, LastWriteTime: 2019/04/07 17:16:32, ChangeTime: 2019/04/07 17:16:32, FileAttributes: A"
"18:40:23.1713830","HIDEMARU.EXE","4744","QueryEaInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","EaSize: 0"
"18:40:23.1714768","HIDEMARU.EXE","4744","CreateFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","Desired Access: Generic Read/Write, Delete, Write DAC, Disposition: OverwriteIf, Options: Sequential Access, Synchronous IO Non-Alert, Non-Directory File, Attributes: A, ShareMode: None, AllocationSize: 19,157, OpenResult: Overwritten"
"18:40:23.1716293","HIDEMARU.EXE","4744","QueryAttributeInformationVolume","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c00600, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"18:40:23.1716547","HIDEMARU.EXE","4744","QueryBasicInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","CreationTime: 2019/04/10 18:33:22, LastAccessTime: 2019/04/10 18:40:23, LastWriteTime: 2019/04/10 18:40:23, ChangeTime: 2019/04/10 18:40:23, FileAttributes: A"
"18:40:23.1716776","HIDEMARU.EXE","4744","QueryAttributeInformationVolume","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","FileSystemAttributes: Case Preserved, Case Sensitive, Unicode, ACLs, Compression, Named Streams, EFS, Object IDs, Reparse Points, Sparse Files, Quotas, Transactions, 0x3c00600, MaximumComponentNameLength: 255, FileSystemName: NTFS"
"18:40:23.1717142","HIDEMARU.EXE","4744","QueryRemoteProtocolInformation","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","INVALID PARAMETER",""
"18:40:23.1717410","HIDEMARU.EXE","4744","QuerySecurityFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","Information: Attribute"
"18:40:23.1717699","HIDEMARU.EXE","4744","SetEndOfFileInformationFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~099","SUCCESS","EndOfFile: 19,157"
"18:40:23.1718562","HIDEMARU.EXE","4744","ReadFile","D:\Users\foo\Documents\hidemaru_backup\D\Users\foo\Documents\GitHub\unity\internal\main.mac~098","SUCCESS","Offset: 0, Length: 19,157, Priority: Normal"
